# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.27
8                       0.27
16                      0.28
32                      0.28
64                      0.29
128                     0.27
256                     0.30
512                     0.33
1024                    0.34
2048                    0.38
4096                    0.79
8192                    1.08
16384                   1.67
32768                   2.74
65536                   4.15
131072                  6.80
262144                 12.86
524288                 25.21
1048576                49.27
2097152               102.82
4194304               272.26
