# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.48
2                      10.96
4                      21.90
8                      43.99
16                     87.64
32                    175.56
64                    350.57
128                   690.62
256                  1372.06
512                  1800.19
1024                 3545.44
2048                 6296.75
4096                 5710.93
8192                10155.59
16384               16684.23
32768               23268.08
65536               26657.15
131072              28090.71
262144              28585.89
524288              30360.02
1048576             31772.49
2097152             31681.15
4194304             29183.57
