# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.31
16                      0.28
32                      0.30
64                      0.28
128                     0.30
256                     0.31
512                     0.39
1024                    0.40
2048                    0.45
4096                    1.07
8192                    1.31
16384                   1.88
32768                   2.99
65536                   4.53
131072                  7.43
262144                 14.24
524288                 28.40
1048576                56.19
2097152               117.92
4194304               261.63
