# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.46
2                      10.97
4                      22.12
8                      44.35
16                     88.00
32                    174.99
64                    347.49
128                   684.57
256                  1359.52
512                  1810.38
1024                 3580.65
2048                 6380.81
4096                 5665.54
8192                10056.91
16384               16378.07
32768               23349.42
65536               26702.42
131072              28110.16
262144              28451.51
524288              28809.34
1048576             28989.27
2097152             29207.65
4194304             29115.51
