# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.51
2                      10.93
4                      21.98
8                      43.96
16                     87.94
32                    176.06
64                    346.22
128                   687.97
256                  1359.95
512                  1795.59
1024                 3564.35
2048                 6352.00
4096                 5665.89
8192                10107.74
16384               16464.15
32768               23377.76
65536               26014.05
131072              28033.85
262144              28424.46
524288              28792.05
1048576             28992.55
2097152             29124.67
4194304             29089.71
