# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.27
4                       0.28
8                       0.27
16                      0.27
32                      0.28
64                      0.27
128                     0.28
256                     0.30
512                     0.32
1024                    0.33
2048                    0.41
4096                    0.79
8192                    1.09
16384                   1.67
32768                   2.74
65536                   4.15
131072                  6.75
262144                 12.83
524288                 25.33
1048576                49.41
2097152               102.93
4194304               271.82
