# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.29
8                       0.27
16                      0.28
32                      0.27
64                      0.28
128                     0.30
256                     0.31
512                     0.30
1024                    0.32
2048                    0.40
4096                    0.77
8192                    1.09
16384                   1.60
32768                   2.65
65536                   4.03
131072                  6.48
262144                 12.44
524288                 24.99
1048576                48.74
2097152               102.53
4194304               273.73
