# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.40
2                      11.02
4                      22.05
8                      44.19
16                     88.05
32                    176.47
64                    353.94
128                   698.01
256                  1378.88
512                  1806.56
1024                 3526.22
2048                 6255.70
4096                 5567.74
8192                 9528.82
16384               15993.94
32768               23328.09
65536               26675.65
131072              28071.49
262144              28450.97
524288              28894.80
1048576             29212.80
2097152             29176.62
4194304             29107.10
