# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.47
2                      10.94
4                      22.05
8                      43.93
16                     87.71
32                    177.12
64                    352.71
128                   687.87
256                  1362.77
512                  1789.95
1024                 3556.91
2048                 6340.21
4096                 5663.48
8192                10041.36
16384               16251.81
32768               23303.04
65536               26676.66
131072              28032.86
262144              28378.52
524288              29976.32
1048576             31158.27
2097152             29062.38
4194304             29057.19
