# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.83
2                      17.57
4                      32.72
8                      65.59
16                    129.70
32                    275.41
64                    555.45
128                   939.04
256                  1759.33
512                  3049.12
1024                 5510.45
2048                 9331.63
4096                 8367.55
8192                13411.78
16384               21812.95
32768               28375.43
65536               31927.85
131072              33442.42
262144              34425.32
524288              35002.59
1048576             35145.68
2097152             35313.76
4194304             35281.52
