# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.28
16                      0.31
32                      0.30
64                      0.28
128                     0.31
256                     0.30
512                     0.37
1024                    0.40
2048                    0.45
4096                    1.03
8192                    1.29
16384                   1.84
32768                   2.91
65536                   4.44
131072                  7.15
262144                 14.03
524288                 28.29
1048576                56.26
2097152               118.72
4194304               263.85
