# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.45
2                      11.05
4                      22.05
8                      44.41
16                     88.62
32                    177.05
64                    347.98
128                   695.17
256                  1376.83
512                  1810.33
1024                 3543.14
2048                 6259.23
4096                 5591.67
8192                 9598.92
16384               15776.02
32768               22017.46
65536               26697.52
131072              28084.99
262144              28375.35
524288              28784.81
1048576             29002.40
2097152             29081.11
4194304             29079.78
