# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.92
2                      17.50
4                      33.58
8                      66.53
16                    134.42
32                    273.95
64                    549.24
128                   937.39
256                  1812.48
512                  2995.40
1024                 5584.43
2048                 9007.12
4096                 8276.91
8192                13318.69
16384               21914.38
32768               28430.80
65536               31795.33
131072              33405.96
262144              34350.12
524288              35910.10
1048576             35151.17
2097152             35702.25
4194304             35243.58
