# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.27
4                       0.28
8                       0.29
16                      0.27
32                      0.28
64                      0.29
128                     0.27
256                     0.32
512                     0.31
1024                    0.34
2048                    0.39
4096                    0.78
8192                    1.10
16384                   1.66
32768                   2.73
65536                   4.04
131072                  6.51
262144                 12.74
524288                 25.41
1048576                50.25
2097152               105.67
4194304               273.65
