# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.28
8                       0.28
16                      0.28
32                      0.28
64                      0.28
128                     0.33
256                     0.34
512                     0.37
1024                    0.39
2048                    0.45
4096                    1.02
8192                    1.30
16384                   1.84
32768                   2.91
65536                   4.45
131072                  7.38
262144                 14.06
524288                 28.33
1048576                56.27
2097152               118.47
4194304               262.52
