# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.13        8126927.37
2                      15.57        7786223.40
4                      31.66        7915435.45
8                      63.79        7974340.57
16                    121.97        7623056.08
32                    249.86        7808196.53
64                    495.55        7742966.42
128                   959.16        7493467.80
256                  1775.41        6935211.04
512                  3112.00        6078116.91
1024                 5865.94        5728456.48
2048                 9281.45        4531956.20
4096                 8283.49        2022336.33
8192                13530.16        1651630.25
16384               21936.52        1338899.17
32768               28275.31         862893.88
65536               31769.02         484756.80
131072              33277.98         253890.81
262144              34270.86         130732.95
524288              35022.22          66799.57
1048576             36510.83          34819.44
2097152             36281.50          17300.37
4194304             35421.90           8445.24
