# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.28
8                       0.28
16                      0.28
32                      0.28
64                      0.28
128                     0.32
256                     0.30
512                     0.38
1024                    0.38
2048                    0.44
4096                    1.01
8192                    1.29
16384                   1.87
32768                   2.91
65536                   4.45
131072                  7.08
262144                 13.44
524288                 28.01
1048576                55.87
2097152               118.00
4194304               305.76
