# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.01        8012699.13
2                      15.26        7628649.73
4                      31.02        7755531.12
8                      61.91        7739090.12
16                    117.23        7326603.62
32                    242.94        7591997.51
64                    481.97        7530741.61
128                   943.88        7374054.32
256                  1713.56        6693594.44
512                  3056.71        5970138.67
1024                 5757.06        5622131.45
2048                 9481.26        4629519.12
4096                 8216.85        2006067.10
8192                13536.53        1652407.98
16384               21883.60        1335669.11
32768               28322.22         864325.68
65536               31854.47         486060.65
131072              33350.49         254444.04
262144              34352.92         131045.98
524288              36178.38          69004.78
1048576             35748.68          34092.60
2097152             35401.59          16880.79
4194304             35346.53           8427.27
