# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.03        8034449.71
2                      16.02        8008505.03
4                      31.21        7801487.26
8                      63.63        7953952.58
16                    115.73        7232950.16
32                    251.24        7851301.26
64                    491.10        7673488.28
128                   965.18        7540476.75
256                  1757.69        6865961.20
512                  3127.51        6108414.24
1024                 5845.71        5708704.95
2048                 9678.26        4725710.53
4096                 8378.24        2045467.74
8192                13579.78        1657688.00
16384               22566.44        1377346.29
32768               28616.81         873315.70
65536               31859.13         486131.69
131072              33362.57         254536.22
262144              34204.80         130480.95
524288              35031.66          66817.59
1048576             36510.10          34818.74
2097152             35461.53          16909.37
4194304             35284.51           8412.48
