# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.29
4                       0.27
8                       0.28
16                      0.27
32                      0.27
64                      0.28
128                     0.30
256                     0.29
512                     0.30
1024                    0.34
2048                    0.40
4096                    0.78
8192                    1.09
16384                   1.66
32768                   2.72
65536                   4.16
131072                  6.70
262144                 12.73
524288                 25.49
1048576                49.58
2097152               105.63
4194304               271.83
