# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.78        4780831.38
2                       9.57        4785306.83
4                      19.29        4823239.94
8                      38.81        4851184.61
16                     77.94        4870963.24
32                    153.96        4811097.16
64                    297.09        4641953.78
128                   562.88        4397473.02
256                  1106.83        4323553.68
512                  1796.62        3509024.53
1024                 3439.08        3358480.48
2048                 5999.07        2929235.39
4096                 5528.66        1349771.24
8192                 9563.91        1167468.91
16384               15717.84         959340.94
32768               22578.05         689027.31
65536               25791.20         393542.44
131072              27648.59         210942.01
262144              28143.00         107357.02
524288              28477.88          54317.24
1048576             31755.68          30284.58
2097152             28748.21          13708.21
4194304             28733.20           6850.53
