# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.84        7835833.41
2                      15.69        7845676.52
4                      31.67        7917567.24
8                      63.75        7969336.98
16                    124.65        7790401.20
32                    250.15        7817228.32
64                    493.10        7704644.38
128                   980.84        7662842.59
256                  1804.93        7050494.87
512                  3028.84        5915697.25
1024                 5774.61        5639265.36
2048                 9484.94        4631317.13
4096                 8349.84        2038534.81
8192                13511.68        1649375.50
16384               21756.21        1327893.56
32768               28353.99         865295.17
65536               31485.35         480428.38
131072              33355.01         254478.56
262144              35200.89         134280.73
524288              36583.17          69776.86
1048576             36942.04          35230.67
2097152             35265.71          16816.00
4194304             35061.93           8359.42
