# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.81
2                      17.58
4                      34.58
8                      71.27
16                    142.04
32                    282.81
64                    569.46
128                  1051.56
256                  1991.78
512                  3094.07
1024                 5631.02
2048                 9252.92
4096                 8500.52
8192                13436.92
16384               21928.59
32768               28468.69
65536               31801.70
131072              33502.70
262144              34347.91
524288              34971.81
1048576             35250.55
2097152             35388.13
4194304             35096.83
