# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.68        4680743.32
2                       9.38        4688458.52
4                      18.85        4711464.40
8                      37.46        4681981.87
16                     76.07        4754117.77
32                    151.66        4739472.67
64                    292.96        4577485.57
128                   552.41        4315713.60
256                  1086.72        4244982.17
512                  1340.06        2617311.05
1024                 2491.70        2433295.94
2048                 4149.00        2025879.53
4096                 3770.34         920493.72
8192                 6329.33         772622.79
16384               10072.10         614752.02
32768               12865.11         392611.91
65536               14895.24         227283.31
131072              17604.82         134314.15
262144              22037.56          84066.62
524288              25242.11          48145.50
1048576             27180.82          25921.65
2097152             27030.40          12889.10
4194304             27295.74           6507.81
