# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.48
2                      11.06
4                      22.35
8                      44.39
16                     88.79
32                    176.72
64                    349.77
128                   681.65
256                  1379.22
512                  1346.60
1024                 2508.89
2048                 4183.95
4096                 3756.87
8192                 6318.01
16384               10060.40
32768               12826.19
65536               14877.01
131072              17820.02
262144              22538.93
524288              25232.55
1048576             26105.72
2097152             27004.30
4194304             27324.32
