# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.29
4                       0.28
8                       0.29
16                      0.28
32                      0.27
64                      0.29
128                     0.29
256                     0.31
512                     0.30
1024                    0.34
2048                    0.42
4096                    0.78
8192                    1.08
16384                   1.68
32768                   2.74
65536                   4.14
131072                  6.64
262144                 12.78
524288                 25.39
1048576                49.62
2097152               103.12
4194304               274.61
