# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.29
8                       0.28
16                      0.29
32                      0.28
64                      0.27
128                     0.30
256                     0.32
512                     0.31
1024                    0.33
2048                    0.42
4096                    0.79
8192                    1.11
16384                   1.68
32768                   2.73
65536                   4.16
131072                  6.80
262144                 12.65
524288                 25.26
1048576                49.50
2097152               103.81
4194304               278.81
