# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.28
16                      0.29
32                      0.29
64                      0.28
128                     0.29
256                     0.32
512                     0.31
1024                    0.33
2048                    0.39
4096                    0.80
8192                    1.09
16384                   1.69
32768                   2.73
65536                   4.13
131072                  6.84
262144                 12.87
524288                 25.45
1048576                49.84
2097152               104.32
4194304               275.77
