# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.47
2                      11.04
4                      22.22
8                      44.30
16                     89.29
32                    178.03
64                    349.78
128                   679.77
256                  1378.49
512                  1366.01
1024                 2549.39
2048                 4220.87
4096                 3734.67
8192                 6221.83
16384                9955.94
32768               12753.49
65536               14854.86
131072              17683.79
262144              21661.81
524288              25400.51
1048576             26151.21
2097152             27027.55
4194304             27325.34
