# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.30
4                       0.28
8                       0.31
16                      0.28
32                      0.30
64                      0.33
128                     0.32
256                     0.30
512                     0.39
1024                    0.41
2048                    0.48
4096                    1.42
8192                    1.64
16384                   2.24
32768                   3.32
65536                   5.66
131072                  9.21
262144                 17.39
524288                 33.85
1048576                67.81
2097152               142.03
4194304               360.32
