# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.77
2                      17.56
4                      34.42
8                      68.98
16                    141.21
32                    282.61
64                    567.11
128                  1034.13
256                  1997.46
512                  3089.58
1024                 5620.97
2048                 9248.56
4096                 8483.61
8192                13765.40
16384               21907.81
32768               28413.33
65536               31823.68
131072              33720.58
262144              34256.94
524288              36500.10
1048576             36440.24
2097152             35278.29
4194304             35024.54
