# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.87
2                      17.47
4                      34.50
8                      69.35
16                    138.25
32                    274.83
64                    554.37
128                  1031.99
256                  1961.55
512                  3022.66
1024                 5513.18
2048                 9001.13
4096                 8357.18
8192                13642.44
16384               21573.99
32768               28232.01
65536               31854.57
131072              34013.96
262144              35468.28
524288              36146.52
1048576             35207.15
2097152             35354.80
4194304             35058.52
