# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.27
4                       0.28
8                       0.29
16                      0.28
32                      0.27
64                      0.29
128                     0.28
256                     0.33
512                     0.31
1024                    0.34
2048                    0.40
4096                    0.77
8192                    1.09
16384                   1.68
32768                   2.73
65536                   4.15
131072                  6.92
262144                 12.76
524288                 25.30
1048576                49.57
2097152               103.21
4194304               274.11
