# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.29
4                       0.32
8                       0.29
16                      0.30
32                      0.29
64                      0.30
128                     0.32
256                     0.31
512                     0.39
1024                    0.43
2048                    0.49
4096                    1.44
8192                    1.64
16384                   2.23
32768                   3.35
65536                   5.67
131072                  9.29
262144                 17.63
524288                 33.99
1048576                67.89
2097152               142.13
4194304               359.19
