# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.29
16                      0.29
32                      0.27
64                      0.29
128                     0.28
256                     0.32
512                     0.30
1024                    0.33
2048                    0.39
4096                    0.78
8192                    1.10
16384                   1.67
32768                   2.74
65536                   4.14
131072                  6.72
262144                 12.78
524288                 25.45
1048576                49.45
2097152               103.23
4194304               275.26
