# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.30
2                       0.32
4                       0.30
8                       0.29
16                      0.30
32                      0.30
64                      0.31
128                     0.30
256                     0.30
512                     0.40
1024                    0.43
2048                    0.48
4096                    1.43
8192                    1.65
16384                   2.22
32768                   3.34
65536                   5.64
131072                  9.06
262144                 17.50
524288                 33.92
1048576                67.83
2097152               141.84
4194304               353.01
