# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.29
4                       0.32
8                       0.29
16                      0.28
32                      0.29
64                      0.31
128                     0.32
256                     0.31
512                     0.39
1024                    0.41
2048                    0.49
4096                    1.44
8192                    1.65
16384                   2.22
32768                   3.38
65536                   5.68
131072                  9.17
262144                 17.65
524288                 34.00
1048576                67.85
2097152               142.00
4194304               360.63
