# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.33
4                       0.32
8                       0.29
16                      0.29
32                      0.31
64                      0.31
128                     0.32
256                     0.30
512                     0.40
1024                    0.42
2048                    0.48
4096                    1.43
8192                    1.67
16384                   2.22
32768                   3.35
65536                   5.68
131072                  9.14
262144                 17.43
524288                 33.86
1048576                67.68
2097152               141.70
4194304               356.15
