# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.49
2                      10.97
4                      22.10
8                      45.21
16                     90.51
32                    179.98
64                    355.47
128                   694.20
256                  1407.96
512                  1387.80
1024                 2575.06
2048                 4222.81
4096                 3789.46
8192                 6367.90
16384               10115.56
32768               12880.13
65536               14914.55
131072              17718.81
262144              22390.86
524288              24319.95
1048576             26126.83
2097152             26972.30
4194304             27278.71
