# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.30        8303054.21
2                      16.50        8252400.71
4                      32.95        8237843.00
8                      65.89        8235940.12
16                    130.63        8164277.51
32                    263.38        8230566.99
64                    524.41        8193870.04
128                  1022.65        7989443.95
256                  1863.10        7277734.02
512                  2887.57        5639786.65
1024                 5708.52        5574723.51
2048                 9092.39        4439645.31
4096                 8311.57        2029191.63
8192                13631.95        1664055.88
16384               21930.04        1338503.22
32768               28571.57         871935.06
65536               31715.23         483935.94
131072              33320.97         254218.86
262144              34192.08         130432.42
524288              34772.52          66323.31
1048576             35206.43          33575.47
2097152             35330.36          16846.83
4194304             35162.94           8383.50
