# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.59        4586614.52
2                       9.24        4622356.04
4                      18.77        4691970.32
8                      37.59        4698795.46
16                     76.01        4750839.97
32                    151.39        4730915.16
64                    292.01        4562595.06
128                   550.86        4303585.12
256                  1083.95        4234176.70
512                  1337.33        2611978.58
1024                 2489.83        2431470.62
2048                 4166.95        2034644.72
4096                 3739.35         912927.90
8192                 6286.13         767349.83
16384               10005.05         610659.75
32768               12857.70         392385.91
65536               14889.62         227197.54
131072              17698.39         135027.99
262144              22569.96          86097.55
524288              25213.23          48090.42
1048576             26108.90          24899.39
2097152             27007.71          12878.28
4194304             27345.98           6519.79
