# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.46
2                      11.00
4                      22.09
8                      44.54
16                     88.79
32                    177.82
64                    350.48
128                   687.42
256                  1385.92
512                  1355.83
1024                 2534.95
2048                 4181.65
4096                 3745.06
8192                 6259.12
16384                9939.81
32768               12842.39
65536               14871.32
131072              17729.70
262144              21796.71
524288              25389.89
1048576             26119.09
2097152             26993.40
4194304             27299.00
