# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.80
2                      17.40
4                      34.67
8                      68.91
16                    138.59
32                    276.49
64                    558.02
128                  1032.53
256                  1926.93
512                  2980.24
1024                 5487.75
2048                 9052.47
4096                 8253.78
8192                13492.44
16384               21918.49
32768               28407.69
65536               31736.95
131072              33999.21
262144              35509.62
524288              35829.55
1048576             36870.82
2097152             35283.29
4194304             35004.91
