# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.32
4                       0.30
8                       0.30
16                      0.29
32                      0.29
64                      0.33
128                     0.31
256                     0.30
512                     0.38
1024                    0.41
2048                    0.50
4096                    1.41
8192                    1.65
16384                   2.24
32768                   3.32
65536                   5.67
131072                  9.19
262144                 17.58
524288                 33.93
1048576                67.80
2097152               141.99
4194304               347.49
