# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.24        8236976.79
2                      16.41        8206624.34
4                      32.45        8113106.85
8                      65.55        8194174.27
16                    130.86        8178907.47
32                    260.88        8152576.49
64                    521.29        8145186.94
128                  1014.92        7929054.78
256                  1874.31        7321537.80
512                  2991.95        5843647.37
1024                 5742.04        5607460.59
2048                 9085.96        4436505.26
4096                 8350.11        2038601.69
8192                13454.49        1642393.33
16384               22338.37        1363425.76
32768               28208.53         860855.94
65536               31450.40         479895.07
131072              33229.04         253517.42
262144              35410.21         135079.24
524288              36593.17          69795.93
1048576             36528.75          34836.53
2097152             35239.84          16803.66
4194304             35073.24           8362.11
