# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.30        8296924.10
2                      16.49        8245058.60
4                      32.94        8235473.81
8                      65.11        8138892.23
16                    131.03        8189597.37
32                    260.40        8137390.69
64                    520.07        8126081.23
128                  1002.93        7835404.59
256                  1809.71        7069184.56
512                  3045.65        5948541.40
1024                 5763.72        5628630.03
2048                 9522.24        4649532.08
4096                 8294.83        2025104.72
8192                13454.15        1642352.79
16384               21795.08        1330266.02
32768               28296.66         863545.51
65536               31682.81         483441.26
131072              33302.28         254076.26
262144              35698.51         136178.99
524288              36583.28          69777.06
1048576             36442.21          34754.00
2097152             35287.80          16826.53
4194304             35076.00           8362.77
