# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.27
4                       0.30
8                       0.29
16                      0.28
32                      0.28
64                      0.28
128                     0.28
256                     0.33
512                     0.31
1024                    0.33
2048                    0.39
4096                    0.77
8192                    1.11
16384                   1.67
32768                   2.70
65536                   4.13
131072                  6.53
262144                 12.49
524288                 25.11
1048576                49.40
2097152               104.66
4194304               278.03
