# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
2                       9.34        4668385.26
4                      18.85        4712978.84
8                      37.74        4717557.35
16                     76.53        4783376.42
32                    152.47        4764689.09
64                    293.31        4582937.16
128                   556.64        4348751.89
256                  1089.44        4255634.61
