# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.67        4674761.84
2                       9.46        4727540.05
4                      18.90        4726244.47
8                      37.67        4709154.52
16                     76.42        4775978.26
32                    151.58        4736965.55
64                    294.38        4599674.18
128                   551.39        4307760.69
256                  1087.72        4248908.50
512                  1336.49        2610335.30
1024                 2475.28        2417266.87
2048                 4187.40        2044630.97
4096                 3769.34         920249.77
8192                 6265.73         764859.52
16384                9944.43         606959.92
32768               12889.60         393359.26
65536               14877.34         227010.20
131072              17670.27         134813.48
262144              22555.92          86044.01
524288              25371.05          48391.43
1048576             27255.16          25992.55
2097152             27001.40          12875.27
4194304             27352.80           6521.42
