# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.65        4652409.41
2                       9.25        4623191.47
4                      18.79        4697997.66
8                      37.54        4692541.73
16                     76.27        4766883.03
32                    151.90        4746894.47
64                    294.42        4600372.47
128                   555.38        4338936.87
256                  1092.38        4267118.98
512                  1333.84        2605153.14
1024                 2480.39        2422259.93
2048                 4166.32        2034335.84
4096                 3722.76         908877.75
8192                 6211.78         758274.51
16384                9942.03         606813.29
32768               12848.68         392110.61
65536               14922.95         227706.19
131072              17594.33         134234.12
262144              21630.29          82512.99
524288              24357.78          46458.78
1048576             26204.39          24990.46
2097152             27080.39          12912.94
4194304             27402.50           6533.26
