# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.09        8093338.45
2                      16.49        8246483.26
4                      32.62        8155245.29
8                      65.38        8172522.98
16                    130.10        8131483.03
32                    262.55        8204770.56
64                    522.13        8158279.81
128                  1011.46        7901995.50
256                  1817.50        7099606.59
512                  3035.31        5928331.29
1024                 5754.41        5619542.24
2048                 9512.23        4644642.40
4096                 8271.91        2019508.13
8192                13450.44        1641899.38
16384               21785.67        1329691.61
32768               28228.16         861455.00
65536               31692.37         483587.20
131072              33281.50         253917.71
262144              34299.93         130843.86
524288              36575.46          69762.15
1048576             36733.70          35031.99
2097152             35272.77          16819.37
4194304             35072.13           8361.85
