# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.50
2                      11.04
4                      22.09
8                      44.16
16                     88.48
32                    178.05
64                    348.18
128                   679.88
256                  1377.39
512                  1364.51
1024                 2529.22
2048                 4188.73
4096                 3786.56
8192                 6369.20
16384               10090.75
32768               12876.94
65536               14891.23
131072              17726.04
262144              21711.75
524288              25415.49
1048576             26153.25
2097152             27047.45
4194304             27383.56
