# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.28
4                       0.28
8                       0.29
16                      0.28
32                      0.27
64                      0.27
128                     0.28
256                     0.32
512                     0.32
1024                    0.32
2048                    0.42
4096                    0.79
8192                    1.09
16384                   1.67
32768                   2.73
65536                   4.13
131072                  6.58
262144                 12.67
524288                 25.34
1048576                49.60
2097152               103.27
4194304               271.84
