# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.84
2                      17.31
4                      34.75
8                      68.94
16                    139.26
32                    275.19
64                    559.10
128                  1007.40
256                  1963.99
512                  3042.44
1024                 5594.78
2048                 9066.52
4096                 8394.76
8192                13704.89
16384               21733.57
32768               28367.04
65536               31812.84
131072              33376.10
262144              34252.67
524288              34819.47
1048576             35154.53
2097152             35360.40
4194304             35132.49
