# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.86
2                      17.67
4                      34.64
8                      69.56
16                    138.51
32                    277.18
64                    554.50
128                  1029.93
256                  1967.46
512                  3039.94
1024                 5541.81
2048                 9007.93
4096                 8370.01
8192                13463.38
16384               21911.24
32768               28368.93
65536               31763.05
131072              33443.66
262144              35440.94
524288              35392.07
1048576             35208.10
2097152             35354.35
4194304             35087.39
