# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.30
2                       0.29
4                       0.30
8                       0.31
16                      0.29
32                      0.29
64                      0.30
128                     0.32
256                     0.32
512                     0.39
1024                    0.41
2048                    0.49
4096                    1.42
8192                    1.67
16384                   2.25
32768                   3.34
65536                   5.66
131072                  9.11
262144                 17.48
524288                 33.95
1048576                67.78
2097152               141.81
4194304               357.32
