# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.79
2                      17.44
4                      34.54
8                      69.18
16                    140.43
32                    283.49
64                    566.19
128                  1035.59
256                  1993.52
512                  3084.11
1024                 5676.12
2048                 9236.65
4096                 8458.69
8192                13666.77
16384               21982.54
32768               28506.47
65536               31839.26
131072              33403.74
262144              35744.24
524288              36580.86
1048576             36906.16
2097152             35319.64
4194304             35082.93
