# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.62        4621957.46
2                       9.32        4661358.16
4                      18.76        4690546.68
8                      37.66        4708110.05
16                     76.46        4779002.50
32                    151.74        4741980.33
64                    294.36        4599347.93
128                   555.74        4341737.63
256                  1091.22        4262579.99
512                  1348.79        2634345.99
1024                 2487.70        2429390.89
2048                 4172.51        2037360.35
4096                 3740.40         913184.53
8192                 6248.72         762782.96
16384                9965.22         608228.69
32768               12897.65         393604.91
65536               14878.63         227029.85
131072              17665.31         134775.64
262144              22547.71          86012.69
524288              25285.56          48228.38
1048576             27154.62          25896.67
2097152             26957.23          12854.21
4194304             27261.83           6499.73
