# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.43
2                      11.08
4                      22.08
8                      45.20
16                     90.11
32                    180.65
64                    355.65
128                   696.78
256                  1411.33
512                  1395.34
1024                 2574.31
2048                 4258.34
4096                 3742.62
8192                 6254.45
16384                9974.29
32768               12811.87
65536               14894.38
131072              17783.21
262144              21800.25
524288              24381.82
1048576             26178.47
2097152             27055.32
4194304             27349.95
