# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.29
16                      0.28
32                      0.27
64                      0.29
128                     0.28
256                     0.32
512                     0.31
1024                    0.34
2048                    0.40
4096                    0.77
8192                    1.09
16384                   1.68
32768                   2.75
65536                   4.16
131072                  6.75
262144                 12.61
524288                 25.35
1048576                49.60
2097152               105.05
4194304               276.77
