# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.29
4                       0.30
8                       0.31
16                      0.28
32                      0.32
64                      0.31
128                     0.35
256                     0.31
512                     0.38
1024                    0.42
2048                    0.48
4096                    1.46
8192                    1.68
16384                   2.22
32768                   3.33
65536                   5.66
131072                  9.19
262144                 17.52
524288                 33.96
1048576                67.82
2097152               142.04
4194304               350.16
