# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.29
4                       0.28
8                       0.27
16                      0.29
32                      0.28
64                      0.29
128                     0.28
256                     0.31
512                     0.31
1024                    0.35
2048                    0.39
4096                    0.80
8192                    1.08
16384                   1.67
32768                   2.74
65536                   4.15
131072                  6.78
262144                 12.86
524288                 25.41
1048576                49.78
2097152               104.10
4194304               278.32
