# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.32        8321160.39
2                      16.37        8186435.84
4                      32.90        8225117.35
8                      65.61        8201761.28
16                    130.86        8178836.39
32                    263.34        8229430.35
64                    527.39        8240477.74
128                  1024.43        8003324.38
256                  1852.92        7237982.49
512                  2916.75        5696781.34
1024                 5689.46        5556113.58
2048                 9021.95        4405249.05
4096                 8323.24        2032040.84
8192                13540.85        1652935.59
16384               21703.52        1324677.97
32768               28254.36         862254.63
65536               31864.55         486214.42
131072              33339.87         254363.01
262144              34260.04         130691.69
524288              36305.70          69247.63
1048576             35151.90          33523.46
2097152             35293.64          16829.32
4194304             35120.68           8373.42
