# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.22        8220606.13
2                      16.33        8166877.90
4                      32.74        8186207.57
8                      65.69        8210933.76
16                    130.46        8153942.35
32                    261.17        8161608.00
64                    520.92        8139366.30
128                  1009.90        7889846.89
256                  1855.75        7249013.11
512                  2894.20        5652737.00
1024                 5720.25        5586181.60
2048                 9113.91        4450152.38
4096                 8314.11        2029811.78
8192                13528.78        1651462.20
16384               21695.50        1324188.02
32768               28332.15         864628.47
65536               31836.60         485788.00
131072              33348.08         254425.70
262144              34167.16         130337.37
524288              35053.03          66858.35
1048576             35678.16          34025.34
2097152             35359.11          16860.54
4194304             35158.84           8382.52
